,user_id,key_time,key_code,direction,is_user
0,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,0,32,d,True
1,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,85,32,u,True
2,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,99,42,d,True
3,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,215,10,d,True
4,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,287,10,u,True
5,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,343,42,u,True
6,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,580,6,d,True
7,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,688,6,u,True
8,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,754,42,d,True
9,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,886,11,d,True
10,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,958,11,u,True
11,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,1162,28,d,True
12,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,1229,28,u,True
13,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,1406,42,u,True
14,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,2390,3675,d,True
15,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,2453,46,d,True
16,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,2560,46,u,True
17,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,2649,3675,u,True
18,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3035,3675,d,True
19,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3099,47,d,True
20,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3183,47,u,True
21,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3252,3675,u,True
22,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3432,52,d,True
23,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3545,52,u,True
24,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3818,35,d,True
25,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3882,18,d,True
26,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3909,35,u,True
27,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3962,18,u,True
28,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,3962,30,d,True
29,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,4066,30,u,True
30,1d63b44d-a7cb-4ee6-b228-b0ff5b7d086f,4094,32,d,True
